Bac1	Bac2	Growth1	Growth2	Intermediate	EX_glc__D_e_1	EX_glc__D_e_2	Glucose_absorption_1	Glucose_absorption_2	EX_h2_e_1	EX_h2_e_2	Cross_feeding_forward	Cross_feeding_reverse	Bac1_mono_growth	Bac2_mono_growth	Total_production	DeepCooc_Co_occurrence	Interaction_type
GCF_000024405_1	GCF_016027455_1	1.29680233	0.14476391	acald_e	-2.72636052	-7.27363948	-2.72636052	-7.27363948	109.61890769	-107.81110885	6,acald_e:275.42699075,nh4_e:2.59734611,mal__L_e:0.05585140,succ_e:0.00001402,h2_e:107.81110885,fe2_e:0.00094139	10,3amp_e:0.10000000,3cmp_e:0.10000000,3gmp_e:0.10000000,3ump_e:0.10000000,ala__L_e:16.11722063,ala__D_e:0.15794236,dcyt_e:0.10000000,lac__D_e:36.16534483,etoh_e:220.66848237,h2s_e:0.01573393	0.64415315	0.50591237	126.54689635	1	parasitism (±)
GCF_001611015_1	GCF_000349945_1	0.61874122	0.70704923	lac__L_e	-9.47169449	-0.52830551	-9.47169449	-0.52830551	-76.42600514	78.2591061	7,h_e:6.95220417,acald_e:0.06640493,mal__L_e:1.99717015,ala__D_e:20.45307595,fe2_e:0.00459789,fum_e:0.01566320,pyr_e:25.95415149	6,ac_e:46.48606695,nh4_e:9.96603744,bz_e:0.00005992,glu__L_e:1.01249044,h2_e:76.42600514,skm_e:0.00040087	0.62450952	0.65147346	8.04512147	1	commensalism (+/0)
GCF_000024405_1	GCF_002393265_1	0.48204274	0.66118727	acald_e	0.0	-10.0	0.0	-10.0	-36.95614137	38.3495372	5,h2o_e:0.40009753,acald_e:3.69814178,pi_e:0.25008448,glu__L_e:0.20947801,ura_e:0.20699763	5,chol_e:0.00277765,gly_e:0.40131311,pro__L_e:0.10319275,h2_e:36.95614137,fum_e:1.61496451	0.64415315	0.69275073	7.54178625	1	competition (−/−)
GCF_002902945_1	GCF_013167075_1	0.0	1.35575464	orn_e	-0.13540738	-9.86459262	-0.13540738	-9.86459262	-2.50836533	3.64811533	6,acald_e:107.89020494,nh4_e:14.10758654,akg_e:28.66045075,orn_e:0.61164328,asp__L_e:0.47094605,fe2_e:0.00881638	6,ac_e:36.23003497,glu__L_e:25.97506755,lac__D_e:14.30273021,etoh_e:56.70408419,h2_e:2.50836533,glyc__R_e:0.00006565	0.62450952	0.661428	4.94594929	1	parasitism (±)
GCF_016458805_1	GCF_013167075_1	0.0	1.37333018	lac__D_e	0.0	-10.0	0.0	-10.0	-1.61201181	2.73776181	10,h2o_e:5.11849052,acald_e:117.04001684,pi_e:0.10843365,akg_e:2.28661700,ser__L_e:0.08257659,oxa_e:3.67838513,cytd_e:0.20000000,gsn_e:0.20000000,uri_e:0.20000000,skm_e:0.00102274	9,ala__L_e:4.09414371,ac_e:32.63331474,ade_e:0.12829336,gly_e:0.74340531,for_e:3.67838513,lac__D_e:13.76568557,etoh_e:62.03848957,h2_e:1.61201181,glyc__R_e:0.00006650	0.62450952	0.661428	3.75985092	1	parasitism (±)
GCF_002902945_1	GCF_000011885_1	0.0	1.33913231	orn_e	0.0	-10.0	0.0	-10.0	-0.90245219	1.49018553	9,h2o_e:9.73339533,acald_e:34.67716731,akg_e:6.71787167,mal__L_e:0.20000000,pro__L_e:0.10000000,fe2_e:0.00870829,icit_e:3.99882264,pyr_e:83.75519410,skm_e:0.00099727	6,ac_e:31.30425844,ade_e:0.60000000,glu__L_e:8.83955445,lac__D_e:82.96225526,h2_e:0.90245219,gsn_e:0.18457192	0.62450952	0.69156001	1.99555559	1	parasitism (±)
GCF_002902945_1	GCF_016027455_1	0.0	1.15338216	orn_e	0.0	-10.0	0.0	-10.0	-1.05340558	1.56273892	11,h2o_e:4.16274747,4hbz_e:0.00011170,acald_e:25.02362003,akg_e:5.26135225,mal__L_e:2.71931351,pro__L_e:0.10000000,fe2_e:0.00750037,glyc__R_e:0.54866448,icit_e:1.16954898,pyr_e:72.57404274,skm_e:0.00074724	5,ac_e:25.87288548,ade_e:0.10103530,glu__L_e:4.47366567,lac__D_e:68.23845248,h2_e:1.05340558	0.62450952	0.50591237	1.80243519	1	parasitism (±)
GCF_002902945_1	GCF_000349945_1	0.61876452	0.74160846	lac__L_e,orn_e	-0.74792314	-9.25207686	-0.74792314	-9.25207686	-1.99325221	3.87872662	8,h_e:32.53458137,4hbz_e:0.00007182,asp__L_e:1.00000000,fe2_e:0.00482263,fum_e:0.00674025,h2s_e:0.04738012,pyr_e:35.31984841,skm_e:0.27355483	8,4hbald_e:0.00013174,acald_e:23.58743832,ac_e:8.77913995,ser__L_e:0.91558542,succ_e:0.00005992,o2_e:0.00001421,etoh_e:21.69840483,h2_e:1.99325221	0.62450952	0.65147346	1.64314271	1	commensalism (+/0)
GCF_001718695_1	GCF_013167075_1	0.0	1.37089661	lac__D_e	0.0	-10.0	0.0	-10.0	0.0	1.13925	11,h2o_e:28.20340131,4abut_e:0.60730585,acald_e:136.83836066,pi_e:0.10611508,ade_e:0.20000000,akg_e:0.87422561,cytd_e:0.20000000,fe2_e:0.00891485,gsn_e:0.20000000,uri_e:0.20000000,skm_e:0.00102093	4,ac_e:35.28709922,lac__D_e:24.62448673,etoh_e:76.39582353,ptrc_e:0.60730585	0.62493094	0.661428	1.56179396	1	parasitism (±)
GCF_001718695_1	GCF_900478325_1	0.83580956	0.74576656	lac__D_e	-10.0	0.0	-10.0	0.0	-0.00016188	1.78506623	9,h_e:93.01906902,acald_e:11.57416303,mal__L_e:40.47643500,asp__L_e:0.63079333,cytd_e:0.20000000,fe2_e:0.00484967,uri_e:0.20000000,pyr_e:10.69080116,xtsn_e:0.25894619	11,ac_e:7.74356983,pi_e:0.19631349,ins_e:0.10000000,ade_e:0.43127462,co2_e:8.85863223,etoh_e:59.13596090,h2_e:0.00016188,gsn_e:0.10000000,skm_e:0.00062244,ura_e:0.16775006,xan_e:0.38328340	0.62493094	0.60814098	1.33110739	0	mutualism (+/+)
GCF_001718795_1	GCF_013167075_1	0.61807753	0.76893861	lac__D_e	-0.20068991	-9.79931009	-0.20068991	-9.79931009	1.51966667	0.0	9,acald_e:31.84195921,chol_e:0.00259654,akg_e:11.32701608,asp__L_e:2.27921533,cytd_e:0.20000000,fe2_e:0.00500036,gsn_e:0.07058517,uri_e:0.20000000,skm_e:0.00057264	7,ade_e:0.23169802,gly_e:1.24522813,glu__L_e:8.66867476,lac__D_e:23.15926727,etoh_e:16.44126059,glyc__R_e:0.00003723,ptrc_e:0.60268841	0.62450952	0.661428	0.93927181	1	parasitism (±)
GCF_001718795_1	GCF_000011885_1	0.61807753	0.73615297	lac__D_e	-0.26596468	-9.73403532	-0.26596468	-9.73403532	1.4780000000000002	0.0	8,akg_e:5.43612514,mal__L_e:1.61831582,cytd_e:0.10000000,fe2_e:0.00478715,fum_e:0.10662174,uri_e:0.10000000,pyr_e:35.46486958,skm_e:0.00054822	9,pi_e:0.28887036,ins_e:0.00662174,ade_e:0.71970947,gly_e:1.27946289,orn_e:0.61202002,glu__L_e:2.15573730,lac__D_e:42.34592258,glyc__R_e:0.00003565,ptrc_e:0.00005986	0.62450952	0.69156001	0.91351858	1	parasitism (±)
GCF_016458805_1	GCF_000011885_1	0.0	1.35197675	lac__D_e	0.0	-10.0	0.0	-10.0	0.0	0.59	13,h2o_e:7.05095053,3amp_e:0.10000000,acald_e:28.01771437,akg_e:1.48868689,mal__L_e:3.69880352,ser__L_e:0.08440236,pro__L_e:0.09984094,cytd_e:0.10000000,fe2_e:0.00879182,gsn_e:0.08593552,uri_e:0.10000000,pyr_e:86.07978725,skm_e:0.00100684	8,ala__L_e:3.24621171,ac_e:31.61651789,ade_e:0.60000000,gly_e:0.76776731,orn_e:0.61272546,lac__D_e:78.39980870,hxan_e:0.40000000,xtsn_e:0.10000000	0.62450952	0.69156001	0.79766629	1	parasitism (±)
GCF_001718695_1	GCF_000011885_1	0.0	1.33221747	lac__D_e	-0.00033071	-9.99966929	-0.00033071	-9.99966929	0.0	0.57826667	12,h2o_e:18.43164135,3amp_e:0.10000000,acald_e:33.75232954,mal__L_e:0.88900417,pro__L_e:0.10000000,cytd_e:0.10000000,fe2_e:0.00866332,gsn_e:0.10000000,icit_e:3.71573469,uri_e:0.10000000,pyr_e:92.82932101,skm_e:0.00099212	5,ac_e:30.54552618,ade_e:0.62262799,akg_e:2.63796042,lac__D_e:93.28782954,etoh_e:0.56884295	0.62493094	0.69156001	0.77037696	1	parasitism (±)
